,start_station_name,end_station_name,Number_of_Trips
996,Jersey & 3rd,Dixon Mills,7
997,Jersey & 3rd,Essex Light Rail,4
998,Jersey & 3rd,Grand St,5
999,Jersey & 3rd,Grove St PATH,31
1000,Jersey & 3rd,Hamilton Park,92
1001,Jersey & 3rd,Harborside,20
1002,Jersey & 3rd,Hilltop,5
1003,Jersey & 3rd,Hoboken Ave at Monmouth St,2
1004,Jersey & 3rd,JC Medical Center,32
1005,Jersey & 3rd,Jersey & 6th St,46
1006,Jersey & 3rd,Lafayette Park,2
1007,Jersey & 3rd,Liberty Light Rail,13
1008,Jersey & 3rd,Manila & 1st,20
1009,Jersey & 3rd,Marin Light Rail,8
1010,Jersey & 3rd,Monmouth and 6th,28
1011,Jersey & 3rd,Montgomery St,2
1012,Jersey & 3rd,Morris Canal,1
1013,Jersey & 3rd,Newark Ave,10
1014,Jersey & 3rd,Newport PATH,23
1015,Jersey & 3rd,Newport Pkwy,6
1016,Jersey & 3rd,Paulus Hook,2
1017,Jersey & 3rd,Pershing Field,1
1018,Jersey & 3rd,Riverview Park,2
1019,Jersey & 3rd,Sip Ave,2
1020,Jersey & 3rd,Van Vorst Park,14
1021,Jersey & 3rd,Warren St,16
1022,Jersey & 3rd,Washington St,19
1023,Jersey & 3rd,York St,2
1024,Jersey & 6th St,Astor Place,1
1025,Jersey & 6th St,Brunswick & 6th,8
1026,Jersey & 6th St,Brunswick St,8
1027,Jersey & 6th St,Christ Hospital,2
1028,Jersey & 6th St,City Hall,25
1029,Jersey & 6th St,Columbus Dr at Exchange Pl,12
1030,Jersey & 6th St,Columbus Drive,5
1031,Jersey & 6th St,Communipaw & Berry Lane,4
1032,Jersey & 6th St,Dixon Mills,2
1033,Jersey & 6th St,Essex Light Rail,3
1034,Jersey & 6th St,Fairmount Ave,1
1035,Jersey & 6th St,Glenwood Ave,6
1036,Jersey & 6th St,Grand St,15
1037,Jersey & 6th St,Grove St PATH,125
1038,Jersey & 6th St,Hamilton Park,17
1039,Jersey & 6th St,Harborside,5
1040,Jersey & 6th St,Hilltop,4
1041,Jersey & 6th St,Hoboken Ave at Monmouth St,1
1042,Jersey & 6th St,JC Medical Center,38
1043,Jersey & 6th St,Jersey & 3rd,41
1044,Jersey & 6th St,Journal Square,1
1045,Jersey & 6th St,Liberty Light Rail,6
1046,Jersey & 6th St,Manila & 1st,49
1047,Jersey & 6th St,Marin Light Rail,1
1048,Jersey & 6th St,Monmouth and 6th,6
1049,Jersey & 6th St,Montgomery St,2
1050,Jersey & 6th St,Morris Canal,3
1051,Jersey & 6th St,Newark Ave,26
1052,Jersey & 6th St,Newport PATH,40
1053,Jersey & 6th St,Newport Pkwy,15
1054,Jersey & 6th St,Paulus Hook,15
1055,Jersey & 6th St,Pershing Field,2
1056,Jersey & 6th St,Riverview Park,1
1057,Jersey & 6th St,Van Vorst Park,17
1058,Jersey & 6th St,Warren St,13
1059,Jersey & 6th St,Washington St,4
1060,Jersey & 6th St,York St,1
1061,Journal Square,5 Corners Library,4
1062,Journal Square,Astor Place,15
1063,Journal Square,Baldwin at Montgomery,19
1064,Journal Square,Bergen Ave,4
1065,Journal Square,Brunswick & 6th,2
1066,Journal Square,Brunswick St,5
1067,Journal Square,Christ Hospital,3
1068,Journal Square,Columbus Dr at Exchange Pl,4
1069,Journal Square,Dey St,102
1070,Journal Square,Dixon Mills,1
1071,Journal Square,Essex Light Rail,1
1072,Journal Square,Fairmount Ave,10
1073,Journal Square,Glenwood Ave,4
1074,Journal Square,Hamilton Park,5
1075,Journal Square,Harborside,1
1076,Journal Square,Heights Elevator,4
1077,Journal Square,Hilltop,9
1078,Journal Square,Hoboken Ave at Monmouth St,1
1079,Journal Square,JC Medical Center,1
1080,Journal Square,Jackson Square,1
1081,Journal Square,Jersey & 6th St,1
1082,Journal Square,Leonard Gordon Park,18
1083,Journal Square,Liberty Light Rail,6
1084,Journal Square,Lincoln Park,8
1085,Journal Square,McGinley Square,17
1086,Journal Square,Monmouth and 6th,2
1087,Journal Square,Montgomery St,6
1088,Journal Square,Morris Canal,1
1089,Journal Square,Newark Ave,2
1090,Journal Square,Newport PATH,9
1091,Journal Square,Newport Pkwy,22
1092,Journal Square,Oakland Ave,35
1093,Journal Square,Paulus Hook,3
1094,Journal Square,Pershing Field,30
1095,Journal Square,Riverview Park,3
1096,Journal Square,Sip Ave,18
1097,Journal Square,Union St,3
1098,Journal Square,Van Vorst Park,4
1099,Journal Square,Warren St,1
1100,Journal Square,Washington St,3
1101,Lafayette Park,Astor Place,1
1102,Lafayette Park,Brunswick & 6th,3
1103,Lafayette Park,Brunswick St,3
1104,Lafayette Park,City Hall,47
1105,Lafayette Park,Columbus Dr at Exchange Pl,4
1106,Lafayette Park,Columbus Drive,1
1107,Lafayette Park,Communipaw & Berry Lane,17
1108,Lafayette Park,Dey St,1
1109,Lafayette Park,Dixon Mills,2
1110,Lafayette Park,Glenwood Ave,1
1111,Lafayette Park,Grand St,3
1112,Lafayette Park,Grove St PATH,103
1113,Lafayette Park,Hamilton Park,4
1114,Lafayette Park,Harborside,2
1115,Lafayette Park,JC Medical Center,8
1116,Lafayette Park,Jackson Square,4
1117,Lafayette Park,Jersey & 3rd,1
1118,Lafayette Park,Jersey & 6th St,1
1119,Lafayette Park,Liberty Light Rail,42
1120,Lafayette Park,Manila & 1st,5
1121,Lafayette Park,Marin Light Rail,18
1122,Lafayette Park,Monmouth and 6th,4
1123,Lafayette Park,Montgomery St,28
1124,Lafayette Park,Morris Canal,2
1125,Lafayette Park,Newark Ave,4
1126,Lafayette Park,Newport PATH,2
1127,Lafayette Park,Paulus Hook,10
1128,Lafayette Park,Pershing Square North,2
1129,Lafayette Park,Riverview Park,2
1130,Lafayette Park,Sip Ave,1
1131,Lafayette Park,Van Vorst Park,21
1132,Lafayette Park,Warren St,3
1133,Lafayette Park,Washington St,1
1134,Leonard Gordon Park,5 Corners Library,5
1135,Leonard Gordon Park,Astor Place,2
1136,Leonard Gordon Park,Bergen Ave,1
1137,Leonard Gordon Park,Brunswick & 6th,1
1138,Leonard Gordon Park,Brunswick St,5
1139,Leonard Gordon Park,Dey St,3
1140,Leonard Gordon Park,Dixon Mills,1
1141,Leonard Gordon Park,Fairmount Ave,1
1142,Leonard Gordon Park,Hamilton Park,3
1143,Leonard Gordon Park,Heights Elevator,1
1144,Leonard Gordon Park,Jersey & 3rd,1
1145,Leonard Gordon Park,Journal Square,14
1146,Leonard Gordon Park,Lincoln Park,2
1147,Leonard Gordon Park,Monmouth and 6th,1
1148,Leonard Gordon Park,Montgomery St,1
1149,Leonard Gordon Park,Newark Ave,2
1150,Leonard Gordon Park,Newport PATH,1
1151,Leonard Gordon Park,Newport Pkwy,2
1152,Leonard Gordon Park,Oakland Ave,2
1153,Leonard Gordon Park,Pershing Field,11
1154,Leonard Gordon Park,Sip Ave,25
1155,Leonard Gordon Park,Van Vorst Park,1
1156,Liberty Light Rail,5 Corners Library,1
1157,Liberty Light Rail,Astor Place,1
1158,Liberty Light Rail,Baldwin at Montgomery,4
1159,Liberty Light Rail,Bergen Ave,2
1160,Liberty Light Rail,Brunswick & 6th,5
1161,Liberty Light Rail,Brunswick St,10
1162,Liberty Light Rail,City Hall,106
1163,Liberty Light Rail,Columbus Dr at Exchange Pl,27
1164,Liberty Light Rail,Columbus Drive,5
1165,Liberty Light Rail,Communipaw & Berry Lane,22
1166,Liberty Light Rail,Dixon Mills,15
1167,Liberty Light Rail,Essex Light Rail,6
1168,Liberty Light Rail,Fairmount Ave,3
1169,Liberty Light Rail,Grand St,16
1170,Liberty Light Rail,Grove St PATH,153
1171,Liberty Light Rail,Hamilton Park,12
1172,Liberty Light Rail,Harborside,36
1173,Liberty Light Rail,Hoboken Ave at Monmouth St,1
1174,Liberty Light Rail,JC Medical Center,61
1175,Liberty Light Rail,Jackson Square,4
1176,Liberty Light Rail,Jersey & 3rd,20
1177,Liberty Light Rail,Jersey & 6th St,6
1178,Liberty Light Rail,Journal Square,3
1179,Liberty Light Rail,Lafayette Park,38
1180,Liberty Light Rail,Lincoln Park,5
1181,Liberty Light Rail,Manila & 1st,11
1182,Liberty Light Rail,Marin Light Rail,67
1183,Liberty Light Rail,McGinley Square,2
1184,Liberty Light Rail,Monmouth and 6th,6
1185,Liberty Light Rail,Montgomery St,19
1186,Liberty Light Rail,Morris Canal,8
1187,Liberty Light Rail,Newark Ave,38
1188,Liberty Light Rail,Newport PATH,15
1189,Liberty Light Rail,Newport Pkwy,14
1190,Liberty Light Rail,Paulus Hook,9
1191,Liberty Light Rail,Sip Ave,5
1192,Liberty Light Rail,Union St,1
1193,Liberty Light Rail,Van Vorst Park,46
1194,Liberty Light Rail,Warren St,16
1195,Liberty Light Rail,Washington St,9
1196,Liberty Light Rail,Westchester Ave & Southern Blvd,1
1197,Liberty Light Rail,York St,7
1198,Lincoln Park,Astor Place,42
1199,Lincoln Park,Baldwin at Montgomery,10
1200,Lincoln Park,Bergen Ave,8
1201,Lincoln Park,Brunswick & 6th,2
1202,Lincoln Park,Brunswick St,1
1203,Lincoln Park,Christ Hospital,1
1204,Lincoln Park,City Hall,6
1205,Lincoln Park,Communipaw & Berry Lane,2
1206,Lincoln Park,Dey St,3
1207,Lincoln Park,Dixon Mills,3
1208,Lincoln Park,Fairmount Ave,26
1209,Lincoln Park,Glenwood Ave,9
1210,Lincoln Park,Grand St,2
1211,Lincoln Park,Grove St PATH,4
1212,Lincoln Park,Hamilton Park,4
1213,Lincoln Park,Harborside,4
1214,Lincoln Park,Hilltop,6
1215,Lincoln Park,Hoboken Ave at Monmouth St,10
1216,Lincoln Park,Jackson Square,3
1217,Lincoln Park,Jersey & 6th St,1
1218,Lincoln Park,Journal Square,7
1219,Lincoln Park,Lafayette Park,1
1220,Lincoln Park,Leonard Gordon Park,2
1221,Lincoln Park,Manila & 1st,1
1222,Lincoln Park,Marin Light Rail,6
1223,Lincoln Park,McGinley Square,8
1224,Lincoln Park,Monmouth and 6th,1
1225,Lincoln Park,Montgomery St,1
1226,Lincoln Park,Newark Ave,3
1227,Lincoln Park,Newport Pkwy,5
1228,Lincoln Park,Paulus Hook,1
1229,Lincoln Park,Pershing Field,2
1230,Lincoln Park,Riverview Park,3
1231,Lincoln Park,Sip Ave,38
1232,Lincoln Park,Union St,4
1233,Lincoln Park,Van Vorst Park,2
1234,Lincoln Park,Warren St,1
1235,Lincoln Park,Washington St,1
1236,Lincoln Park,York St,1
1237,Manila & 1st,Astor Place,1
1238,Manila & 1st,Baldwin at Montgomery,1
1239,Manila & 1st,Brunswick & 6th,37
1240,Manila & 1st,Brunswick St,16
1241,Manila & 1st,Christ Hospital,3
1242,Manila & 1st,City Hall,13
1243,Manila & 1st,Columbus Dr at Exchange Pl,8
1244,Manila & 1st,Columbus Drive,5
1245,Manila & 1st,Communipaw & Berry Lane,1
1246,Manila & 1st,Dixon Mills,7
1247,Manila & 1st,Essex Light Rail,2
1248,Manila & 1st,Glenwood Ave,4
1249,Manila & 1st,Grand St,11
1250,Manila & 1st,Grove St PATH,14
1251,Manila & 1st,Hamilton Park,77
1252,Manila & 1st,Harborside,16
1253,Manila & 1st,Heights Elevator,4
1254,Manila & 1st,Hilltop,2
1255,Manila & 1st,Hoboken Ave at Monmouth St,17
1256,Manila & 1st,JC Medical Center,7
1257,Manila & 1st,Jersey & 3rd,24
1258,Manila & 1st,Jersey & 6th St,39
1259,Manila & 1st,Lafayette Park,2
1260,Manila & 1st,Liberty Light Rail,3
1261,Manila & 1st,Lincoln Park,3
1262,Manila & 1st,Marin Light Rail,35
1263,Manila & 1st,McGinley Square,1
1264,Manila & 1st,Monmouth and 6th,35
1265,Manila & 1st,Montgomery St,11
1266,Manila & 1st,Morris Canal,4
1267,Manila & 1st,Newark Ave,2
1268,Manila & 1st,Newport PATH,19
1269,Manila & 1st,Newport Pkwy,20
1270,Manila & 1st,Oakland Ave,2
1271,Manila & 1st,Paulus Hook,10
1272,Manila & 1st,Pershing Field,1
1273,Manila & 1st,Riverview Park,1
1274,Manila & 1st,Sip Ave,2
1275,Manila & 1st,Van Vorst Park,4
1276,Manila & 1st,Warren St,21
1277,Manila & 1st,Washington St,7
1278,Manila & 1st,York St,1
1279,Marin Light Rail,Astor Place,2
1280,Marin Light Rail,Baldwin at Montgomery,4
1281,Marin Light Rail,Brunswick & 6th,15
1282,Marin Light Rail,Brunswick St,17
1283,Marin Light Rail,Christ Hospital,5
1284,Marin Light Rail,City Hall,82
1285,Marin Light Rail,Columbus Dr at Exchange Pl,59
1286,Marin Light Rail,Columbus Drive,33
1287,Marin Light Rail,Communipaw & Berry Lane,8
1288,Marin Light Rail,Dixon Mills,11
1289,Marin Light Rail,Essex Light Rail,50
1290,Marin Light Rail,Fairmount Ave,49
1291,Marin Light Rail,Glenwood Ave,8
1292,Marin Light Rail,Grand St,14
1293,Marin Light Rail,Grove St PATH,207
1294,Marin Light Rail,Hamilton Park,29
1295,Marin Light Rail,Harborside,47
1296,Marin Light Rail,Heights Elevator,1
1297,Marin Light Rail,Hilltop,4
1298,Marin Light Rail,Hoboken Ave at Monmouth St,5
1299,Marin Light Rail,JC Medical Center,73
1300,Marin Light Rail,Jersey & 3rd,12
1301,Marin Light Rail,Jersey & 6th St,5
1302,Marin Light Rail,Lafayette Park,4
1303,Marin Light Rail,Liberty Light Rail,57
1304,Marin Light Rail,Lincoln Park,2
1305,Marin Light Rail,Manila & 1st,19
1306,Marin Light Rail,McGinley Square,2
1307,Marin Light Rail,Monmouth and 6th,5
1308,Marin Light Rail,Montgomery St,26
1309,Marin Light Rail,Morris Canal,19
1310,Marin Light Rail,Newark Ave,26
1311,Marin Light Rail,Newport PATH,84
1312,Marin Light Rail,Newport Pkwy,28
1313,Marin Light Rail,Paulus Hook,57
1314,Marin Light Rail,Pershing Field,1
1315,Marin Light Rail,Pier 40 Dock Station,1
1316,Marin Light Rail,Sip Ave,1
1317,Marin Light Rail,South St & Gouverneur Ln,1
1318,Marin Light Rail,Van Vorst Park,32
1319,Marin Light Rail,Vesey Pl & River Terrace,1
1320,Marin Light Rail,Warren St,53
1321,Marin Light Rail,Washington St,55
1322,Marin Light Rail,York St,7
1323,McGinley Square,5 Corners Library,4
1324,McGinley Square,Astor Place,22
1325,McGinley Square,Baldwin at Montgomery,16
1326,McGinley Square,Bergen Ave,4
1327,McGinley Square,Bloomfield St & 15 St,1
1328,McGinley Square,Brunswick & 6th,4
1329,McGinley Square,Brunswick St,4
1330,McGinley Square,Christ Hospital,2
1331,McGinley Square,City Hall,10
1332,McGinley Square,Columbus Dr at Exchange Pl,5
1333,McGinley Square,Communipaw & Berry Lane,1
1334,McGinley Square,Dey St,1
1335,McGinley Square,Dixon Mills,6
1336,McGinley Square,Fairmount Ave,7
1337,McGinley Square,Glenwood Ave,4
1338,McGinley Square,Grand St,9
1339,McGinley Square,Grove St PATH,11
1340,McGinley Square,Hamilton Park,12
1341,McGinley Square,Harborside,13
1342,McGinley Square,Heights Elevator,2
1343,McGinley Square,Hilltop,7
1344,McGinley Square,JC Medical Center,8
1345,McGinley Square,Jackson Square,2
1346,McGinley Square,Jersey & 3rd,1
1347,McGinley Square,Jersey & 6th St,4
1348,McGinley Square,Journal Square,12
1349,McGinley Square,Lafayette Park,3
1350,McGinley Square,Leonard Gordon Park,5
1351,McGinley Square,Liberty Light Rail,8
1352,McGinley Square,Lincoln Park,12
1353,McGinley Square,Manila & 1st,5
1354,McGinley Square,Marin Light Rail,11
1355,McGinley Square,Monmouth and 6th,2
1356,McGinley Square,Montgomery St,11
1357,McGinley Square,Newark Ave,15
1358,McGinley Square,Newport PATH,6
1359,McGinley Square,Newport Pkwy,24
1360,McGinley Square,Oakland Ave,4
1361,McGinley Square,Pershing Field,6
1362,McGinley Square,Riverview Park,2
1363,McGinley Square,Sip Ave,332
1364,McGinley Square,Union St,6
1365,McGinley Square,Van Vorst Park,4
1366,McGinley Square,Warren St,6
1367,McGinley Square,Washington St,4
1368,McGinley Square,York St,3
1369,Monmouth and 6th,5 Corners Library,1
1370,Monmouth and 6th,Astor Place,2
1371,Monmouth and 6th,Brunswick & 6th,15
1372,Monmouth and 6th,Brunswick St,6
1373,Monmouth and 6th,Christ Hospital,1
1374,Monmouth and 6th,City Hall,7
1375,Monmouth and 6th,Columbus Dr at Exchange Pl,49
1376,Monmouth and 6th,Columbus Drive,3
1377,Monmouth and 6th,Communipaw & Berry Lane,2
1378,Monmouth and 6th,Dixon Mills,2
1379,Monmouth and 6th,Essex Light Rail,3
1380,Monmouth and 6th,Glenwood Ave,1
1381,Monmouth and 6th,Grand St,11
1382,Monmouth and 6th,Grove St PATH,85
1383,Monmouth and 6th,Hamilton Park,21
1384,Monmouth and 6th,Harborside,4
1385,Monmouth and 6th,Heights Elevator,4
1386,Monmouth and 6th,Hilltop,2
1387,Monmouth and 6th,Hoboken Ave at Monmouth St,4
1388,Monmouth and 6th,JC Medical Center,10
1389,Monmouth and 6th,Jersey & 3rd,12
1390,Monmouth and 6th,Jersey & 6th St,5
1391,Monmouth and 6th,Lafayette Park,5
1392,Monmouth and 6th,Liberty Light Rail,4
1393,Monmouth and 6th,Lincoln Park,2
1394,Monmouth and 6th,Manila & 1st,33
1395,Monmouth and 6th,Marin Light Rail,6
1396,Monmouth and 6th,Montgomery St,6
1397,Monmouth and 6th,Morris Canal,2
1398,Monmouth and 6th,Newark Ave,21
1399,Monmouth and 6th,Newport PATH,9
1400,Monmouth and 6th,Newport Pkwy,8
1401,Monmouth and 6th,Paulus Hook,11
1402,Monmouth and 6th,Pershing Field,13
1403,Monmouth and 6th,Riverview Park,2
1404,Monmouth and 6th,Sip Ave,1
1405,Monmouth and 6th,Van Vorst Park,2
1406,Monmouth and 6th,Warren St,19
1407,Monmouth and 6th,Washington St,4
1408,Monmouth and 6th,York St,1
1409,Montgomery St,5 Corners Library,2
1410,Montgomery St,Astor Place,4
1411,Montgomery St,Baldwin at Montgomery,5
1412,Montgomery St,Bergen Ave,3
1413,Montgomery St,Brunswick & 6th,3
1414,Montgomery St,Brunswick St,3
1415,Montgomery St,Christ Hospital,6
1416,Montgomery St,City Hall,9
1417,Montgomery St,Columbus Dr at Exchange Pl,8
1418,Montgomery St,Columbus Drive,17
1419,Montgomery St,Dixon Mills,16
1420,Montgomery St,Essex Light Rail,2
1421,Montgomery St,Fairmount Ave,2
1422,Montgomery St,Grand St,12
1423,Montgomery St,Grove St PATH,60
1424,Montgomery St,Hamilton Park,27
1425,Montgomery St,Harborside,13
1426,Montgomery St,Heights Elevator,3
1427,Montgomery St,Hilltop,4
1428,Montgomery St,Hoboken Ave at Monmouth St,1
1429,Montgomery St,JC Medical Center,9
1430,Montgomery St,Jackson Square,1
1431,Montgomery St,Jersey & 3rd,6
1432,Montgomery St,Jersey & 6th St,7
1433,Montgomery St,Lafayette Park,11
1434,Montgomery St,Leonard Gordon Park,1
1435,Montgomery St,Liberty Light Rail,18
1436,Montgomery St,Lincoln Park,1
1437,Montgomery St,Manila & 1st,10
1438,Montgomery St,Marin Light Rail,26
1439,Montgomery St,McGinley Square,4
1440,Montgomery St,Monmouth and 6th,15
1441,Montgomery St,Morris Canal,1
1442,Montgomery St,Newark Ave,10
1443,Montgomery St,Newport PATH,24
1444,Montgomery St,Newport Pkwy,26
1445,Montgomery St,Paulus Hook,4
1446,Montgomery St,Pershing Field,9
1447,Montgomery St,Riverview Park,1
1448,Montgomery St,Sip Ave,2
1449,Montgomery St,Van Vorst Park,8
1450,Montgomery St,Warren St,25
1451,Montgomery St,Washington St,23
1452,Montgomery St,York St,9
1453,Morris Canal,Baldwin at Montgomery,1
1454,Morris Canal,Brunswick & 6th,14
1455,Morris Canal,Brunswick St,11
1456,Morris Canal,City Hall,30
1457,Morris Canal,Columbus Dr at Exchange Pl,129
1458,Morris Canal,Columbus Drive,13
1459,Morris Canal,Communipaw & Berry Lane,3
1460,Morris Canal,Dey St,1
1461,Morris Canal,Dixon Mills,7
1462,Morris Canal,Essex Light Rail,15
1463,Morris Canal,Grand St,22
1464,Morris Canal,Grove St PATH,95
1465,Morris Canal,Hamilton Park,10
1466,Morris Canal,Harborside,48
1467,Morris Canal,Hilltop,1
1468,Morris Canal,Hoboken Ave at Monmouth St,3
1469,Morris Canal,JC Medical Center,27
1470,Morris Canal,Jersey & 3rd,4
1471,Morris Canal,Jersey & 6th St,3
1472,Morris Canal,Lafayette Park,4
1473,Morris Canal,Liberty Light Rail,12
1474,Morris Canal,Manila & 1st,2
1475,Morris Canal,Marin Light Rail,16
1476,Morris Canal,Monmouth and 6th,3
